# remove the jumper connection from VCC_PP1 to +5V: we need +12v power supply for push-pull outputs.
R309,

# remove +5V pull-ups from SPI1, because we use it with +3.3v accelerometer
R103,
R105,

# JLC stock adjustments
U103,"AP2331W-7","SC59","C460346"
U480,"AP2331W-7","SC59","C460346"
U600,"LMV324IPWR","TSSOP14","C398929"

# STM32
U105,"STM32F407IGT6 ","LQFP176","C33993"
# 32kHz crystal
Y101,"32.768 kHz","SMD2012","C55208"
#WBO heater transistor
Q600,"VN1160TR-E","DPAK","C160204"
#fuses 0.5A
F300,"nSMD050-24V","1206","C70076"
F410,"nSMD050-24V","1206","C70076"
# LMR14020->LMR14030 (more power, no problem)
U420,"LMR14030","SOP8","C182078"
